param windPowerS: 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
11	565.67737	482.3483299	518.4308434	707.0688967	508.211822	587.900568	501.4780478	432.1992357	692.2873436	578.0374805	620.4379341	498.3658172	698.9765213	578.6900965	437.544683	490.6252779	497.5181417	584.7390063	501.236832	506.6620083	517.6066442	496.4095074	556.8798713	537.8026222	532.7801795	537.1590016	514.7205364	558.8475348	631.911882	577.8487231
12	550.275739	610.2305825	601.0231935	549.9424348	538.0515864	450.4122005	526.9857051	594.7831049	588.265682	515.3124094	634.0134897	557.9574506	580.2583963	642.6646564	482.9433116	630.72047	481.1548485	639.8158527	558.4531178	629.5832489	566.4690538	574.8709292	581.7469441	582.2947049	524.5231306	508.5558994	563.6674861	606.9666086	461.504766	518.5285924
13	529.5188583	519.1343521	501.7251908	533.9694511	570.3347374	538.4646271	555.30715	498.5037944	413.4215171	461.9938864	640.7631352	554.2558381	512.2785954	448.630001	537.6979319	698.809753	444.1042132	624.9560222	465.1597139	623.466205	648.9086288	519.6358876	505.1676862	570.6171292	551.9752911	500.0202679	571.8320031	481.0603789	632.8698871	581.9813923
14	515.8486239	574.3159228	482.3579961	378.9746926	478.2283934	556.2632478	544.2926347	546.1744224	564.2671778	582.4290049	448.2586889	539.3747826	553.0652357	436.5885393	384.5706042	673.9638241	496.6849695	601.8020601	467.4442723	478.0260636	578.2275645	474.5902764	475.110479	504.2092581	532.4504372	507.5814747	473.2474671	479.0350089	623.5298987	499.5671633
15	517.098369	521.3516706	532.0955668	552.4390389	519.8518004	470.196849	509.7242272	389.9095073	399.2012717	530.3146781	518.3316378	529.3626276	492.6093	576.3353945	504.547549	674.2950929	441.8504673	590.0497747	445.9676327	505.4380914	492.267353	479.0195103	508.6078684	484.9896268	531.9318331	484.6827242	467.8248788	424.7473279	439.6604491	527.1317432
16	508.0351682	443.0004807	527.2911782	619.127964	464.2535426	499.7673795	472.1768976	556.2995236	614.2533902	501.7496595	472.075882	562.0299174	560.2456874	574.8415448	572.7800207	404.6053749	574.8605955	585.5324785	565.8285604	536.8216107	548.061436	540.004782	462.087301	511.239875	471.2634509	473.5928551	493.7868651	511.8527817	474.5265933	509.1850764
17	499.0626911	589.4987899	526.5611628	590.7035031	557.5159842	418.0241048	439.7092456	564.4705952	520.2601183	509.6205126	489.9782647	538.162252	427.7710731	496.3675274	626.2497912	610.6456115	442.4114523	418.9652237	424.5133498	412.1139504	545.2791248	442.0525697	537.430154	460.1667694	463.5184223	518.7143148	486.4671386	591.4152025	425.7311476	507.8160038
18	514.206422	565.2889445	560.3535685	548.6757243	590.8851833	478.4832205	463.2715962	398.3220279	467.9439268	514.9253242	493.5436151	578.820924	454.0217393	502.5163157	374.6193812	383.0368327	430.1384576	453.807258	562.4598947	518.133015	450.2994089	535.4002088	517.5095436	558.7627343	473.4735296	470.9368712	515.3420219	467.1362113	501.8833287	532.6856075
19	505.7502548	490.0486874	522.4764448	411.2060012	539.1477198	505.5248449	540.478897	379.305677	481.5290847	520.7113837	437.4499241	511.6174346	496.4743206	571.0480633	639.3952402	595.8554726	489.9306227	591.7387858	536.8986532	480.013427	363.9572202	451.1649908	487.0122814	539.2692721	514.726537	538.9199587	543.6852836	609.2467538	356.7821472	493.9921336
20	480.1111111	565.9956646	449.200596	590.1955898	429.6079906	486.9127987	532.9023743	539.57515	424.5104123	548.2134706	428.5761741	426.6015395	532.2554516	450.7943812	505.1330502	471.2129589	452.7288771	542.5501027	529.7847436	433.019627	598.2753599	489.7727956	452.8445433	525.1387979	433.2432491	484.7138418	484.6189441	423.8730859	559.9783025	441.4042471
21	467.4816514	429.6908966	492.2627516	486.6537942	427.3012182	389.4895594	469.2402448	438.9789562	467.6082687	429.2896641	500.4533491	411.286796	382.5420364	447.3158489	557.6587997	493.5249149	483.0691298	465.1682735	415.8121767	411.3059798	351.03755	466.2334444	493.9899042	470.4190146	494.4063361	462.4732735	465.0484283	516.0215347	328.5915039	491.3009972
22	419.8195719	353.5246509	437.2258312	426.5222555	386.1507036	428.4373906	391.8409658	313.2400195	316.5989273	366.2612297	466.7678454	426.0999498	498.4022788	481.5997524	453.5019809	515.6352106	471.6132812	359.6998092	398.4141061	463.5027604	396.4824557	405.5125949	433.0320494	409.749202	416.2438876	402.054675	428.3108593	365.3366034	436.5933118	410.4259167
23	371.8649337	421.4767701	398.1648016	467.0414327	325.5410276	377.6496827	376.9605252	306.1789193	437.3926956	332.6555281	342.3105713	352.955196	421.4596875	409.3663887	266.8187462	439.7979243	432.2262514	330.4330085	375.5284964	439.263427	317.1913242	389.7766016	389.6956235	397.5317442	362.5194642	342.9249598	340.0977782	358.8580158	411.0794479	383.3701906
24	357.6753313	349.0070245	359.0866467	267.9820172	367.5145367	320.0319685	402.5619884	426.1128754	389.0923116	418.0591258	306.9274045	376.9921296	338.9497485	354.4037921	426.5007355	333.3205199	328.2813256	265.6149933	331.4129294	310.0507137	350.5677203	326.650533	327.8875382	343.9125751	379.8946169	342.9301742	328.8278266	292.7707883	280.094576	393.2000879
;
