param windPowerS: 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
11	565.67737	545.203264	535.7575697	475.3395835	508.5703757	546.7733938	538.6467836	535.1510294	834.0437372	494.1880584	348.6007556	603.1440601	438.5066255	516.7616309	518.5101606	382.3303576	641.4010008	898.541672	621.0201113	664.7783481	470.0550183	648.3602505	578.0113792	538.3948309	593.5688431	509.3537761	539.5617763	603.333515	512.0265774	559.4058351
12	550.275739	568.9042018	567.2730943	512.1579208	582.3865538	515.2692618	494.5286474	697.086131	349.2630367	393.4554449	543.8877473	563.6902432	425.1296449	593.3905069	527.4753185	581.4502794	599.0399418	257.6746948	533.7769784	490.3979286	645.4886957	530.6105764	511.9644469	515.2989085	562.0468542	517.9116334	538.1938772	550.7723095	459.9657163	555.6523288
13	529.5188583	460.1140186	554.4371576	515.9936391	536.2946409	583.8457956	466.080712	682.2081742	459.1825279	190.030509	678.3932208	498.7281443	568.6122797	503.7472519	638.0815038	684.6155333	617.2025784	475.9936417	549.1641592	497.2961879	509.1082233	509.2737713	476.9414326	485.8628565	529.6838624	544.8453386	517.6228555	619.0878409	674.9502364	483.2352342
14	515.8486239	606.7234494	553.6055992	667.5944614	555.6620827	609.2418881	502.7726413	604.0623484	447.7021841	281.2681694	361.8521812	581.2870845	546.5308998	511.7315973	657.9920409	640.4035694	535.3367059	425.1669986	450.1965869	531.9635049	480.6056613	484.6858092	533.1729734	539.1834586	486.2336278	506.8776595	500.4995411	436.7004607	408.7167256	474.3852435
15	517.098369	529.6148535	566.8550512	498.4589296	492.0053552	434.3114738	535.3612737	610.4350336	400.8539772	509.9746522	545.0051695	517.5746087	636.9397243	495.8989505	405.9316389	628.6709844	432.0644427	716.5211444	462.9826144	580.0201586	666.7963675	497.3274472	517.5262378	503.5599214	518.0363032	553.4595363	558.4987144	454.1037572	479.5996481	540.4392501
16	508.0351682	556.1598432	550.6986576	623.9353471	557.4892631	532.6472055	488.8040644	598.1481297	366.3647989	417.3030442	368.1191494	507.151539	453.4509912	467.9396932	469.6418619	663.351948	427.4554873	709.4872616	465.8344449	531.790546	488.5126256	567.0763845	477.0016674	469.6976489	529.7228377	489.7250033	489.3679749	611.5328907	531.458722	552.0387647
17	499.0626911	505.4779552	469.5511283	537.9186288	471.0472374	646.8977756	461.272908	450.551468	524.9274433	250.4778545	336.7551235	516.5680681	512.1347965	496.996606	473.9135689	694.6325626	449.7739774	697.48958	494.3600959	457.8445055	469.0073157	536.3309272	529.8428448	515.5470905	526.7044213	512.3384051	528.6304341	498.101715	410.7499823	527.3847878
18	514.206422	496.3757883	549.7067312	551.7579363	514.9590364	673.5599962	500.7661463	663.4523656	663.4956809	872.4549532	383.5671383	581.1790831	442.3329682	549.8685714	499.3880769	526.3768993	469.0941068	420.9059555	547.2305433	606.0661961	520.20717	482.3471659	552.7970884	509.2663979	551.5888583	488.5828838	488.4086379	413.6151257	402.870521	561.1983542
19	505.7502548	496.9563732	470.8598488	557.8186237	541.6055771	292.6163573	430.4358851	656.4711065	737.0153485	773.2932815	445.3390855	523.8530085	686.5412106	460.0511294	566.8008347	539.9754205	476.1320467	439.1270934	535.5013367	505.767056	491.1911285	439.4819398	522.8473794	521.7075123	497.4090159	504.3715856	500.5219873	541.5119481	381.3674917	526.8390465
20	480.1111111	388.908097	513.7296703	492.0706996	466.8486719	436.7604269	438.5213483	516.2505766	518.5271751	220.1543966	302.5457096	530.4076072	561.8385177	518.3190763	603.5660575	478.7589236	438.811153	403.8965665	451.1376318	445.9146424	363.604945	463.305396	463.1787541	440.216243	516.4239833	472.8967163	453.4562674	583.0683934	411.5678134	478.0674053
21	467.4816514	495.1830135	502.7370262	495.953587	518.6500501	555.2100372	418.8276159	376.5986303	720.9657595	613.5619566	537.1532941	455.6551954	460.0954409	468.8204469	344.6552409	571.3823871	477.1060877	474.5621982	501.2215321	549.3207501	356.7729129	464.6022575	456.5825714	478.4967618	443.2524368	476.6184066	456.0175243	459.1592217	498.2816157	511.3477645
22	419.8195719	421.9399025	390.032216	310.123564	373.6256689	398.8107923	402.7097076	420.4854611	332.1113111	251.1937349	501.7639963	367.257055	519.1199973	357.4227044	321.1967391	524.6015685	371.4186738	604.3032746	380.1269208	445.978388	489.7337065	427.8329367	458.8551053	423.3205975	444.6518695	451.8788688	452.8273915	410.1929131	324.8310874	444.6445714
23	371.8649337	442.6087115	340.2144167	349.7120872	403.6001187	351.6940134	334.0744086	386.6520457	340.8925282	488.1195249	316.0399168	388.7333825	467.9136092	411.0394434	467.5926806	462.6216239	359.6714313	324.2308097	338.2858254	411.770319	338.927108	319.1757136	360.1052488	384.1400581	346.6919896	336.3687415	379.109641	385.8131884	318.8513108	367.6914641
24	357.6753313	366.8227406	392.4689867	450.16895	381.5657901	476.2642912	383.6767449	357.0711271	556.7674846	534.5279278	349.9574373	403.7976116	412.3122732	322.0678042	308.0101925	286.9961285	367.619018	182.2399612	327.9052629	420.1250819	376.0494629	364.8592132	360.916233	378.1267801	361.514166	351.5706661	352.7633851	410.8952627	341.1249661	343.9915972
;
